id,created_at,updated_at,is_watched,show_on,video_details_id_id,hotel_id_id,flag
220,"2018-04-12 12:57:49.121715","2018-04-12 12:57:49.120864",1,"2018-04-12 12:57:49.121732",138,1,T
221,"2018-05-07 09:52:56.357016","2018-04-14 08:05:16.096603",1,"2018-05-07 09:52:56.357060",2,2,R
222,"2018-05-07 09:52:56.459876","2018-04-14 08:05:16.105822",1,"2018-05-07 09:52:56.459949",35,2,R
223,"2018-05-07 09:52:56.563102","2018-04-14 08:05:16.115384",1,"2018-05-07 09:52:56.563147",37,2,R
224,"2018-05-07 09:52:56.666733","2018-04-14 08:05:16.128317",1,"2018-05-07 09:52:56.666777",31,2,R
225,"2018-05-07 09:52:56.769872","2018-04-14 08:05:16.140776",1,"2018-05-07 09:52:56.769915",80,2,T
226,"2018-05-07 09:52:56.874275","2018-04-14 08:16:16.939060",1,"2018-05-07 09:52:56.874316",2,1,T
227,"2018-05-07 09:52:56.976757","2018-04-14 08:16:16.948585",1,"2018-05-07 09:52:56.976816",35,1,T
228,"2018-05-07 09:52:57.079677","2018-04-14 08:16:16.957963",1,"2018-05-07 09:52:57.079723",37,1,T
229,"2018-05-07 09:52:57.185189","2018-04-14 08:16:16.971249",1,"2018-05-07 09:52:57.185233",31,1,T
230,"2018-05-07 09:52:57.289787","2018-04-14 08:16:16.983704",1,"2018-05-07 09:52:57.289828",80,1,T
231,"2018-05-07 09:52:57.392526","2018-04-14 08:16:39.648134",1,"2018-05-07 09:52:57.392573",2,1,T
232,"2018-05-07 09:52:57.496349","2018-04-14 08:16:39.657725",1,"2018-05-07 09:52:57.496399",35,1,T
